Importance,Essential Skill,Essential Skill Description
78,Active Listening,"Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times."
78,Writing,Communicating effectively in writing as appropriate for the needs of the audience.
75,Critical Thinking,"Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems."
75,Reading Comprehension,Understanding written sentences and paragraphs in work-related documents.
75,Speaking,Talking to others to convey information effectively.
69,Active Learning,Understanding the implications of new information for both current and future problem-solving and decision-making.
53,Monitoring,"Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action."
50,Mathematics,Using mathematics to solve problems.
47,Learning Strategies,Selecting and using training/instructional methods and procedures appropriate for the situation when learning or teaching new things.
0,Science,Using scientific rules and methods to solve problems.
